address,person,wiki,year,person_year,PAON,Street,Postcode
"43 VILLIERS STREET, CHARING CROSS WC2N 6NE",Rudyard Kipling,https://en.wikipedia.org/wiki/Rudyard_Kipling,01/01/1957,Rudyard Kipling_1957,43,,WC2N 6NE
"44 ST PETER'S ROAD, SOUTH CROYDON CR0 1RG",Alfred Russel Wallace,https://en.wikipedia.org/wiki/Alfred_Russel_Wallace,01/01/1979,Alfred Russel Wallace_1979,44,ST PETER'S ROAD,CR0 1RG
"44 ALBERT STREET, CAMDEN NW1 7NU",John Desmond Bernal,https://en.wikipedia.org/wiki/John_Desmond_Bernal,01/01/2001,John Desmond Bernal_2001,44,,NW1 7NU
"44 BELSIZE PARK GARDENS, BELSIZE PARK NW3 4LY",Frederick Delius,https://en.wikipedia.org/wiki/Frederick_Delius,01/01/1999,Frederick Delius_1999,44,,NW3 4LY
"44 GROVE END ROAD, ST JOHN'S WOOD NW8 9NE",Sir Lawrence Alma-Tadema O.M.,https://en.wikipedia.org/wiki/Lawrence_Alma-Tadema,01/01/1975,Sir Lawrence Alma-Tadema O.M._1975,44, GROVE END ROAD,NW8 9NE
"44 EATON SQUARE, BELGRAVIA SW1W 9BD",Prince Metternich,https://en.wikipedia.org/wiki/Klemens_von_Metternich,01/01/1970,Prince Metternich_1970,44, EATON SQUARE,SW1W 9BD
"44 CADOGAN PLACE, CHELSEA, SW1X 9RU",William Wilberforce,https://en.wikipedia.org/wiki/William_Wilberforce,01/01/1961,William Wilberforce_1961,44, CADOGAN PLACE,SW1X 9RU
"44 MORTIMER STREET, FITZROVIA W1W 7RJ",Joseph Nollekens,https://en.wikipedia.org/wiki/Joseph_Nollekens,01/01/1954,Joseph Nollekens_1954,44,,W1W 7RJ
"44 WESTBOURNE TERRACE, PADDINGTON W2 3UH",Susan Lawrence,https://en.wikipedia.org/wiki/Susan_Lawrence,01/01/1987,Susan Lawrence_1987,44, WESTBOURNE TERRACE,W2 3UH
"45 BERKELEY SQUARE, MAYFAIR W1J 5AS",Lord Robert Clive,https://en.wikipedia.org/wiki/Robert_Clive,01/01/1953,Lord Robert Clive_1953,45, BERKELEY SQUARE,W1J 5AS
"45 FARQUHAR ROAD, UPPER NORWOOD SE19 1SS",Leslie Howard,https://en.wikipedia.org/wiki/Leslie_Howard_(actor),01/01/2013,Leslie Howard_2013,45, FARQUHAR ROAD,SE19 1SS
"45 THE CHASE, NORBURY SW16 3AE",Will Hay,https://en.wikipedia.org/wiki/Will_Hay,01/01/2000,Will Hay_2000,45,,SW16 3AE
"46 CLARGES STREET, MAYFAIR W1J 7ER",Charles James Fox,https://en.wikipedia.org/wiki/Charles_James_Fox,01/01/1912,Charles James Fox_1912,46,,W1J 7ER
"46 RICHMOND HILL, RICHMOND TW10 4QX",Dame Celia Johnson,https://en.wikipedia.org/wiki/Celia_Johnson,01/01/2008,Dame Celia Johnson_2008,46,,TW10 4QX
"46 LONGLEY ROAD, TOOTING SW17 9LL",Sir Harry Lauder,https://en.wikipedia.org/wiki/Harry_Lauder,01/01/1969,Sir Harry Lauder_1969,46, LONGLEY ROAD,SW17 9LL
"46 GREEN STREET, MAYFAIR W1K 7FY",Sir Thomas Sopwith,https://en.wikipedia.org/wiki/Thomas_Sopwith,01/01/1998,Sir Thomas Sopwith_1998,46,,W1K 7FY
"46 GREAT RUSSELL STREET, BLOOMSBURY WC1B 3PA",Randolph Caldecott,https://en.wikipedia.org/wiki/Randolph_Caldecott,01/01/1977,Randolph Caldecott_1977,46,,WC1B 3PA
"46 GORDON SQUARE, BLOOMSBURY WC1H 0PD",John Maynard Keynes,https://en.wikipedia.org/wiki/John_Maynard_Keynes,01/01/1975,John Maynard Keynes_1975,46, GORDON SQUARE,WC1H 0PD
"47 DOWNSHIRE HILL, HAMPSTEAD NW3 1NX",John Heartfield,https://en.wikipedia.org/wiki/John_Heartfield,01/01/2004,John Heartfield_2004,47,,NW3 1NX
"47 CITY ROAD, ISLINGTON EC1Y 1AU",John Wesley,https://en.wikipedia.org/wiki/John_Wesley,01/01/1926,John Wesley_1926,47, CITY ROAD,EC1Y 1AU
"47 PORTLAND PLACE, MARYLEBONE W1B 1JH","Frederick Roberts, 1st Earl Roberts","https://en.wikipedia.org/wiki/Frederick_Roberts,_1st_Earl_Roberts",01/01/1922,"Frederick Roberts, 1st Earl Roberts_1922",47, PORTLAND PLACE,W1B 1JH
"47 CRYSTAL PALACE ROAD, EAST DULWICH SE22 9EX",Henry Cotton,https://en.wikipedia.org/wiki/Henry_Cotton_(golfer),01/01/2017,Henry Cotton_2017,47, CRYSTAL PALACE ROAD,SE22 9EX
"47 BENNETT PARK, BLACKHEATH SE3 9RA",GPO Film Unit,https://en.wikipedia.org/wiki/GPO_Film_Unit,01/01/2000,GPO Film Unit_2000,47,,SE3 9RA
"47 CLAPHAM COMMON NORTHSIDE, CLAPHAM SW4 0AA",Edvard Grieg,https://en.wikipedia.org/wiki/Edvard_Grieg,01/01/2004,Edvard Grieg_2004,47,,SW4 0AA
"47 PALACE COURT, BAYSWATER W2 4LS",Alice Meynell,https://en.wikipedia.org/wiki/Alice_Meynell,01/01/1948,Alice Meynell_1948,47, PALACE COURT,W2 4LS
"48 WILDWOOD ROAD, HAMPSTEAD GARDEN SUBURB NW11 6UP,",Dame Myra Hess,https://en.wikipedia.org/wiki/Myra_Hess,01/01/1987,Dame Myra Hess_1987,48, WILDWOOD ROAD,NW11 6UP
"48 BLANDFORD STREET, MARYLEBONE W1U 7HU",Michael Faraday,https://en.wikipedia.org/wiki/Michael_Faraday,01/01/1876,Michael Faraday_1876,48,,W1U 7HU
"48 DOUGHTY STREET (NOW THE CHARLES DICKENS MUSEUM), HOLBORN WC1N 2LX",Charles Dickens,https://en.wikipedia.org/wiki/Charles_Dickens,01/01/1903,Charles Dickens_1903,48,,WC1N 2LX
"48 GLOUCESTER PLACE, MARYLEBONE W1U 8HG",John Robert Godley,https://en.wikipedia.org/wiki/John_Robert_Godley,01/01/1951,John Robert Godley_1951,48, GLOUCESTER PLACE,W1U 8HG
"48 WELBECK STREET, MARYLEBONE W1G 8EZ",Thomas Young,https://en.wikipedia.org/wiki/Thomas_Young_(scientist),01/01/1951,Thomas Young_1951,48,,W1G 8EZ
"48 PAULTONS SQUARE, CHELSEA SW5 0AQ","[Samuel Beckett, Patrick Blackett]","[https://en.wikipedia.org/wiki/Samuel_Beckett, https://en.wikipedia.org/wiki/Patrick_Blackett]",01/01/2016,Samuel Beckett_2016,48, PAULTONS SQUARE,SW5 0AQ
"48 UPPER MALL, CHISWICK W6 9TA",Eric Ravilious,https://en.wikipedia.org/wiki/Eric_Ravilious,01/01/1991,Eric Ravilious_1991,48,,W6 9TA
"48 KENSINGTON COURT, KENSINGTON W8 5DB",Colonel R. E. B. Crompton,https://en.wikipedia.org/wiki/R._E._B._Crompton,01/01/2000,Colonel R. E. B. Crompton_2000,48, KENSINGTON COURT,W8 5DB
"49 OVERSTRAND MANSIONS, PRINCE OF WALES DRIVE, BATTERSEA SW11 4EZ",Seán O'Casey,https://en.wikipedia.org/wiki/Se%C3%A1n_O%27Casey,01/01/1993,Seán O'Casey_1993,49,,SW11 4EZ
"49 KEW GREEN, KEW TW9 3AA",Sir William Hooker and Sir Joseph Hooker,https://en.wikipedia.org/wiki/William_Jackson_Hooker,01/01/2010,Sir William Hooker and Sir Joseph Hooker_2010,49,,TW9 3AA
"49 ST STEPHEN'S AVENUE, SHEPHERD'S BUSH W12 8JB",Sri Aurobindo,https://en.wikipedia.org/wiki/Sri_Aurobindo,01/01/2007,Sri Aurobindo_2007,49,S AVENUE,W12 8JB
"49 BEDFORD SQUARE, BLOOMSBURY WC1B 3DP",Ram Mohan Roy,https://en.wikipedia.org/wiki/Ram_Mohan_Roy,01/01/1985,Ram Mohan Roy_1985,49, BEDFORD SQUARE,WC1B 3DP
"50 LAWFORD ROAD, KENTISH TOWN NW5 2LN",George Orwell,https://en.wikipedia.org/wiki/George_Orwell,01/01/1980,George Orwell_1980,50, LAWFORD ROAD,NW5 2LN
"50 BERKELEY SQUARE, MAYFAIR W1J 5BA",George Canning,https://en.wikipedia.org/wiki/George_Canning,01/01/1979,George Canning_1979,50, BERKELEY SQUARE,W1J 5BA
"50 DURLEY ROAD, STAMFORD HILL N16 6JS",Ebenezer Howard,https://en.wikipedia.org/wiki/Ebenezer_Howard,01/01/1991,Ebenezer Howard_1991,50, DURLEY ROAD,N16 6JS
"50 SOUTHWOOD LANE, HIGHGATE N6 9TS",Arthur Waley,https://en.wikipedia.org/wiki/Arthur_Waley,01/01/1995,Arthur Waley_1995,50, SOUTHWOOD LANE,N6 9TS
"50 WELBECK STREET, MARYLEBONE W1G 9XW",Sir Patrick Manson,https://en.wikipedia.org/wiki/Patrick_Manson,01/01/1985,Sir Patrick Manson_1985,50,,W1G 9XW
"50 WIMPOLE STREET, MARYLEBONE W1G 8SQ",Elizabeth Barrett Browning,https://en.wikipedia.org/wiki/Elizabeth_Barrett_Browning,01/01/1899,Elizabeth Barrett Browning_1899,50,,W1G 8SQ
"50 WIMPOLE STREET, MARYLEBONE W1G 8SQ",Elizabeth Barrett Browning,https://en.wikipedia.org/wiki/Elizabeth_Barrett_Browning,01/01/1936,Elizabeth Barrett Browning_1936,50,,W1G 8SQ
"50 CLARENDON ROAD, NOTTING HILL W11 3AD",Emmeline Pankhurst and Dame Christabel Pankhurst,https://en.wikipedia.org/wiki/Emmeline_Pankhurst,01/01/2006,Emmeline Pankhurst and Dame Christabel Pankhurst_2006,50, CLARENDON ROAD,W11 3AD
"50 CAMPDEN HILL SQUARE, HOLLAND PARK W8 7JR",Evelyn Underhill,https://en.wikipedia.org/wiki/Evelyn_Underhill,01/01/1990,Evelyn Underhill_1990,50, CAMPDEN HILL SQUARE,W8 7JR
"51 TWEEDY ROAD, BROMLEY BR1 3NH",Rachel McMillan and Margaret McMillan,https://en.wikipedia.org/wiki/Rachel_McMillan,01/01/2009,Rachel McMillan and Margaret McMillan_2009,51, TWEEDY ROAD,BR1 3NH
"51 NETHERHALL GARDENS, HAMPSTEAD NW3 5RJ",John Passmore Edwards,https://en.wikipedia.org/wiki/John_Passmore_Edwards,01/01/1988,John Passmore Edwards_1988,51,,NW3 5RJ
"51 GORDON SQUARE, BLOOMSBURY WC1H 0PN",Lytton Strachey,https://en.wikipedia.org/wiki/Lytton_Strachey,01/01/1971,Lytton Strachey_1971,51, GORDON SQUARE,WC1H 0PN
"51 UPPER BROOK STREET, MAYFAIR W1K 2BT",George Seferis,https://en.wikipedia.org/wiki/George_Seferis,01/01/2000,George Seferis_2000,51,,W1K 2BT
"51 HERNE HILL, HERNE HILL SE24 9NE",Sax Rohmer,https://en.wikipedia.org/wiki/Sax_Rohmer,01/01/1985,Sax Rohmer_1985,51,,SE24 9NE
"51 RUTLAND GATE, KNIGHTSBRIDGE SW7 1PL",Lord Lugard,"https://en.wikipedia.org/wiki/Frederick_Lugard,_1st_Baron_Lugard",01/01/1972,Lord Lugard_1972,51, RUTLAND GATE,SW7 1PL
"51 AVONMORE ROAD, WEST KENSINGTON W14 8RT",Sir Edward Elgar,https://en.wikipedia.org/wiki/Edward_Elgar,01/01/1962,Sir Edward Elgar_1962,51, AVONMORE ROAD,W14 8RT
"51 BARROWGATE ROAD, CHISWICK W4 4QT",Tommy Cooper,https://en.wikipedia.org/wiki/Tommy_Cooper,01/01/2016,Tommy Cooper_2016,51, BARROWGATE ROAD,W4 4QT
"52 CANONBURY PARK SOUTH, ISLINGTON N1 2JG",Louis Macneice,https://en.wikipedia.org/wiki/Louis_Macneice,01/01/1996,Louis Macneice_1996,52,,N1 2JG
"52 MANCHESTER STREET, MARYLEBONE W1U 7LU",Sir Francis Beaufort,https://en.wikipedia.org/wiki/Francis_Beaufort,01/01/1959,Sir Francis Beaufort_1959,52,,W1U 7LU
"53 HOLLAND PARK, HOLLAND PARK W11 3RS",Maharajah Duleep Singh,https://en.wikipedia.org/wiki/Maharajah_Duleep_Singh,01/01/2005,Maharajah Duleep Singh_2005,53,,W11 3RS
"53 TALGARTH ROAD, BARONS COURT W14 9DD",Marcus Garvey,https://en.wikipedia.org/wiki/Marcus_Garvey,01/01/2005,Marcus Garvey_2005,53, BARONS COURT,W14 9DD
"54 DELANCEY STREET, CAMDEN TOWN NW1 7RY",Dylan Thomas,https://en.wikipedia.org/wiki/Dylan_Thomas,01/01/1983,Dylan Thomas_1983,54,,NW1 7RY
"54 BROADWICK STREET, SOHO W1F 7AH",Charles Bridgeman,https://en.wikipedia.org/wiki/Charles_Bridgeman,01/01/1984,Charles Bridgeman_1984,54,,W1F 7AH
"54 EATON SQUARE, BELGRAVIA SW1W 9BE",Vivien Leigh,https://en.wikipedia.org/wiki/Vivien_Leigh,01/01/1996,Vivien Leigh_1996,54, EATON SQUARE,SW1W 9BE
"55 GRAHAM ROAD, HACKNEY E8 1PB",Marie Lloyd,https://en.wikipedia.org/wiki/Marie_Lloyd,01/01/1977,Marie Lloyd_1977,55, GRAHAM ROAD,E8 1PB
"55 ALBANY STREET, REGENT'S PARK NW1 4BT",Henry Mayhew,https://en.wikipedia.org/wiki/Henry_Mayhew,01/01/1953,Henry Mayhew_1953,55,,NW1 4BT
"55 ARCHERY ROAD, ELTHAM SE9 1HF","Herbert Morrison, Baron Morrison of Lambeth",https://en.wikipedia.org/wiki/Herbert_Morrison,01/01/1977,"Herbert Morrison, Baron Morrison of Lambeth_1977",55, ARCHERY ROAD,SE9 1HF
"55 BRYNMAER ROAD, BATTERSEA SW11 4EN",John Richard Archer,https://en.wikipedia.org/wiki/John_Richard_Archer,01/01/2013,John Richard Archer_2013,55, BRYNMAER ROAD,SW11 4EN
"55 YORK AVENUE, EAST SHEEN SW14 7LQ",Kathleen Godfree,https://en.wikipedia.org/wiki/Kathleen_McKane_Godfree,01/01/2006,Kathleen Godfree_2006,55, YORK AVENUE,SW14 7LQ
"56 EXMOUTH MARKET, CLERKENWELL EC1R 4QE",Joseph Grimaldi,https://en.wikipedia.org/wiki/Joseph_Grimaldi,01/01/1989,Joseph Grimaldi_1989,56,EXMOUTH MARKET,EC1R 4QE
"56 MORTIMER ROAD, DE BEAUVOIR TOWN N1 5AP",Philip Henry Gosse and Sir Edmund Gosse,https://en.wikipedia.org/wiki/Philip_Henry_Gosse,01/01/1983,Philip Henry Gosse and Sir Edmund Gosse_1983,56, MORTIMER ROAD,N1 5AP
"56 FORTESS ROAD, KENTISH TOWN NW5 2HG",Ford Madox Brown,https://en.wikipedia.org/wiki/Ford_Madox_Brown,01/01/1976,Ford Madox Brown_1976,56, FORTESS ROAD,NW5 2HG
"56 FITZROY STREET, FITZROVIA W1T 5BU",Captain Matthew Flinders R. N.,https://en.wikipedia.org/wiki/Matthew_Flinders,01/01/1961,Captain Matthew Flinders R. N._1961,56,,W1T 5BU
"56 OLD CHURCH STREET, CHELSEA SW3 5BD",Charles Kingsley,https://en.wikipedia.org/wiki/Charles_Kingsley,01/01/1979,Charles Kingsley_1979,56,,SW3 5BD
"56 OAKLEY STREET, CHELSEA SW3 5HB",Robert Falcon Scott,https://en.wikipedia.org/wiki/Robert_Falcon_Scott,01/01/1935,Robert Falcon Scott_1935,56,,SW3 5HB
"56 AKERMAN ROAD, CAMBERWELL SW9 6SN",Dan Leno,https://en.wikipedia.org/wiki/Dan_Leno,01/01/1962,Dan Leno_1962,56, AKERMAN ROAD,SW9 6SN
"56 BROOK GREEN, BROOK GREEN W6 7BJ",Sir Frank Short,https://en.wikipedia.org/wiki/Frank_Short,01/01/1951,Sir Frank Short_1951,56,,W6 7BJ
"56 HORNTON STREET, HOLLAND PARK W8 4NU",Sir Charles Stanford,https://en.wikipedia.org/wiki/Charles_Villiers_Stanford,01/01/1961,Sir Charles Stanford_1961,56,,W8 4NU
"57 REDCLIFFE GARDENS, CHELSEA SW10 9JJ",Sydney Monckton Copeman,https://en.wikipedia.org/wiki/Sydney_Copeman,01/01/1996,Sydney Monckton Copeman_1996,57,,SW10 9JJ
"57 PONT STREET, CHELSEA SW1X 0BD",Sir George Alexander,https://en.wikipedia.org/wiki/George_Alexander_(actor),01/01/1951,Sir George Alexander_1951,57,,SW1X 0BD
"57 PALACE GARDENS TERRACE, KENSINGTON W8 4RU",Sir Max Beerbohm,https://en.wikipedia.org/wiki/Max_Beerbohm,01/01/1969,Sir Max Beerbohm_1969,57, PALACE GARDENS TERRACE,W8 4RU
"58 SOLENT HOUSE, BEN JONSON ROAD, STEPNEY E1 3NN",Dr. Barnardo,https://en.wikipedia.org/wiki/Thomas_John_Barnardo,01/01/1953,Dr. Barnardo_1953,58, BEN JONSON ROAD,E1 3NN
"58 CRANES PARK, SURBITON KT5 8AS",Alfred Bestall,https://en.wikipedia.org/wiki/Alfred_Bestall,01/01/2006,Alfred Bestall_2006,58,,KT5 8AS
"58 GRAFTON WAY, FITZROVIA W1T 5DL",Andrés Bello,https://en.wikipedia.org/wiki/Andr%C3%A9s_Bello,01/01/1996,Andrés Bello_1996,58,,W1T 5DL
"58 GRAFTON WAY, FITZROVIA W1T 5DL",Francisco De Miranda,https://en.wikipedia.org/wiki/Francisco_De_Miranda,01/01/1996,Francisco De Miranda_1996,58,,W1T 5DL
"58 QUEEN ANNE STREET, MARYLEBONE W1M 9LA",Hector Berlioz,https://en.wikipedia.org/wiki/Hector_Berlioz,01/01/1969,Hector Berlioz_1969,58,,W1M 9LA
"58 UNDERHILL ROAD, EAST DULWICH SE22 0QT",C. S. Forester,https://en.wikipedia.org/wiki/C._S._Forester,01/01/1990,C. S. Forester_1990,58, UNDERHILL ROAD,SE22 0QT
"58 GROVE PARK TERRACE, CHISWICK W4 3QE",Joseph Michael Gandy,https://en.wikipedia.org/wiki/Joseph_Gandy,01/01/2006,Joseph Michael Gandy_2006,58, GROVE PARK TERRACE,W4 3QE
"58 SHEFFIELD TERRACE, HOLLAND PARK W8 7NA",Dame Agatha Christie,https://en.wikipedia.org/wiki/Agatha_Christie,01/01/2001,Dame Agatha Christie_2001,58, SHEFFIELD TERRACE,W8 7NA
"58 DOUGHTY STREET, HOLBORN WC1N 2LS",Vera Brittain and Winifred Holtby,https://en.wikipedia.org/wiki/Vera_Brittain,01/01/1995,Vera Brittain and Winifred Holtby_1995,58,,WC1N 2LS
"59 FOOTSCRAY ROAD, ELTHAM SE9 2ST",Richard Jeffries,https://en.wikipedia.org/wiki/Richard_Jeffries,01/01/1986,Richard Jeffries_1986,59, FOOTSCRAY ROAD,SE9 2ST
"60 PARKHILL ROAD, HAMPSTEAD NW3 2YT",Piet Cornelis Mondrian,https://en.wikipedia.org/wiki/Piet_Cornelis_Mondrian,01/01/1975,Piet Cornelis Mondrian_1975,60, PARKHILL ROAD,NW3 2YT
"60 BURGHLEY ROAD, KENTISH TOWN NW5 1UN",Kwame Nkrumah,https://en.wikipedia.org/wiki/Kwame_Nkrumah,01/01/2005,Kwame Nkrumah_2005,60, BURGHLEY ROAD,NW5 1UN
"60 ELGIN CRESCENT, NOTTING HILL W11 2JJ",Jawaharlal Nehru,https://en.wikipedia.org/wiki/Jawaharlal_Nehru,01/01/1989,Jawaharlal Nehru_1989,60, ELGIN CRESCENT,W11 2JJ
"60 GROSVENOR STREET, MAYFAIR W1K 3HZ",Ann Oldfield,https://en.wikipedia.org/wiki/Anne_Oldfield,01/01/1992,Ann Oldfield_1992,60,,W1K 3HZ
"60 WESTBOURNE TERRACE, PADDINGTON W2 3UJ",Charles Manby,https://en.wikipedia.org/wiki/Charles_Manby,01/01/1961,Charles Manby_1961,60, WESTBOURNE TERRACE,W2 3UJ
"61 NEW CAVENDISH STREET, MARYLEBONE W1G 7AR",Alfred Waterhouse,https://en.wikipedia.org/wiki/Alfred_Waterhouse,01/01/1988,Alfred Waterhouse_1988,61,,W1G 7AR
"61 SHELGATE ROAD, CLAPHAM SW11 1BA",Edward Thomas,https://en.wikipedia.org/wiki/Edward_Thomas_(poet),01/01/1949,Edward Thomas_1949,61, SHELGATE ROAD,SW11 1BA
"61 PALACE GARDENS TERRACE, KENSINGTON W8 4RU",Percy Wyndham Lewis,https://en.wikipedia.org/wiki/Wyndham_Lewis,01/01/1983,Percy Wyndham Lewis_1983,61, PALACE GARDENS TERRACE,W8 4RU
"61 ST MARTIN'S LANE, COVENT GARDEN WC2N 4JS",Thomas Chippendale,https://en.wikipedia.org/wiki/Thomas_Chippendale,01/01/1952,Thomas Chippendale_1952,61,S LANE,WC2N 4JS
"62 CRANBROOK ROAD, TURNHAM GREEN W4 2LJ",Private Frederick Hitch V.C.,https://en.wikipedia.org/wiki/Frederick_Hitch,01/01/2004,Private Frederick Hitch V.C._2004,62, CRANBROOK ROAD,W4 2LJ
"63 PORTLAND PLACE, MARYLEBONE W1B 1QP",Frances Hodgson Burnett,https://en.wikipedia.org/wiki/Frances_Hodgson_Burnett,01/01/1979,Frances Hodgson Burnett_1979,63, PORTLAND PLACE,W1B 1QP
"63 ALBANY MANSIONS, ALBERT BRIDGE ROAD, BATTERSEA SW11 4QA",Norman Douglas,https://en.wikipedia.org/wiki/Norman_Douglas,01/01/1980,Norman Douglas_1980,63, ALBERT BRIDGE ROAD,SW11 4QA
"63 ST GEORGE'S DRIVE, PIMLICO SW1V 4DD",Swami Vivekananda,https://en.wikipedia.org/wiki/Swami_Vivekananda,01/01/2004,Swami Vivekananda_2004,63,,SW1V 4DD
"63 HARLEY STREET, MARYLEBONE W1G 9PW",Sir Stewart Duke-Elder,https://en.wikipedia.org/wiki/Stewart_Duke-Elder,01/01/2002,Sir Stewart Duke-Elder_2002,63,,W1G 9PW
"64 DUNCAN TERRACE, ISLINGTON N1 8AG",Charles Lamb,https://en.wikipedia.org/wiki/Charles_Lamb,01/01/1907,Charles Lamb_1907,64, DUNCAN TERRACE,N1 8AG
"64 SOUTH AUDLEY STREET, MAYFAIR W1K 3JP",Constance Spry,https://en.wikipedia.org/wiki/Constance_Spry,01/01/2012,Constance Spry_2012,64,,W1K 3JP
"65 CROMWELL AVENUE, HIGHGATE N6 5HS",Vinayak Damodar Savarkar,https://en.wikipedia.org/wiki/Vinayak_Damodar_Savarkar,01/01/1985,Vinayak Damodar Savarkar_1985,65, CROMWELL AVENUE,N6 5HS
"65 GLOUCESTER PLACE, MARYLEBONE W1U 8JL",William Wilkie Collins,https://en.wikipedia.org/wiki/William_Wilkie_Collins,01/01/1951,William Wilkie Collins_1951,65, GLOUCESTER PLACE,W1U 8JL
"65 LINCOLN'S INN FIELDS, HOLBORN WC2A 4LH",William Marsden,https://en.wikipedia.org/wiki/William_Marsden_(surgeon),01/01/1986,William Marsden_1986,65,,WC2A 4LH
"65 STRAND-ON-THE-GREEN, CHISWICK W4 3PF",Johann Zoffany,https://en.wikipedia.org/wiki/Johann_Zoffany,01/01/1973,Johann Zoffany_1973,65,,W4 3PF
"66 GREAT RUSSELL STREET, BLOOMSBURY WC1B 3BN",John Nash,https://en.wikipedia.org/wiki/John_Nash_(architect),01/01/2013,John Nash_2013,66,,WC1B 3BN
"67 CHARLTON CHURCH LANE, CHARLTON SE7 7AB",Italo Svevo,https://en.wikipedia.org/wiki/Italo_Svevo,01/01/1999,Italo Svevo_1999,67, CHARLTON CHURCH LANE,SE7 7AB
"67 ALBERT BRIDGE ROAD, BATTERSEA SW11 4QE",Charles Sargeant Jagger,https://en.wikipedia.org/wiki/Charles_Sargeant_Jagger,01/01/2000,Charles Sargeant Jagger_2000,67, ALBERT BRIDGE ROAD,SW11 4QE
"67 ADDISON ROAD, HOLLAND PARK W14 8JL",Chaim Weizmann,https://en.wikipedia.org/wiki/Chaim_Weizmann,01/01/1980,Chaim Weizmann_1980,67, ADDISON ROAD,W14 8JL
"67 WIMPOLE STREET, MARYLEBONE W1G 8AP",Henry Hallam,https://en.wikipedia.org/wiki/Henry_Hallam,01/01/1904,Henry Hallam_1904,67,,W1G 8AP
"69 GUNTERSTONE ROAD, WEST KENSINGTON W14 9BS",Sir Henry Rider Haggard,https://en.wikipedia.org/wiki/H._Rider_Haggard,01/01/1977,Sir Henry Rider Haggard_1977,69, GUNTERSTONE ROAD,W14 9BS
"70 EDITH ROAD, WEST KENSINGTON W14 9AR",Sir Eugene Goossens,https://en.wikipedia.org/wiki/Eugene_Aynsley_Goossens,01/01/1999,Sir Eugene Goossens_1999,70, EDITH ROAD,W14 9AR
"71 FROGNAL, HAMPSTEAD NW3 6XY",Sir Harold Gillies,https://en.wikipedia.org/wiki/Harold_Gillies,01/01/1997,Sir Harold Gillies_1997,71,,NW3 6XY
"71 VALLANCE ROAD, BETHNAL GREEN E2 5BS",Mary Hughes,https://en.wikipedia.org/wiki/Mary_Hughes,01/01/1961,Mary Hughes_1961,71, VALLANCE ROAD,E2 5BS
"71 KENILWORTH COURT, LOWER RICHMOND ROAD, PUTNEY SW15 1EN",Fred Russell,https://en.wikipedia.org/wiki/Fred_Russell_(ventriloquist),01/01/2009,Fred Russell_2009,71, KENILWORTH COURT,SW15 1EN
"71 BERNERS STREET, SOHO W1T 3NL",Samuel Taylor Coleridge,https://en.wikipedia.org/wiki/Samuel_Taylor_Coleridge,01/01/1966,Samuel Taylor Coleridge_1966,71,,W1T 3NL
"71 HEREFORD ROAD, BAYSWATER W2 5BB",Guglielmo Marconi,https://en.wikipedia.org/wiki/Guglielmo_Marconi,01/01/1952,Guglielmo Marconi_1952,71, HEREFORD ROAD,W2 5BB
"72 SOUTH AUDLEY STREET, MAYFAIR W1K 1JB",King Charles X,https://en.wikipedia.org/wiki/Charles_X,01/01/2000,King Charles X_2000,72,,W1K 1JB
"73 LANCASTER ROAD, STROUD GREEN N4 4PL",Laurie Cunningham,https://en.wikipedia.org/wiki/Laurie_Cunningham,01/01/2016,Laurie Cunningham_2016,73, LANCASTER ROAD,N4 4PL
"73 HARLEY STREET, MARYLEBONE W1G 8QJ",Sir Charles Lyell  and William Ewart Gladstone ,https://en.wikipedia.org/wiki/Charles_Lyell,01/01/1908,Sir Charles Lyell  and William Ewart Gladstone _1908,73,,W1G 8QJ
"74 SHOOTERS HILL, BLACKHEATH SE3 7BG",William Lindley and Sir William Heerlein Lindley,https://en.wikipedia.org/wiki/William_Lindley,01/01/2015,William Lindley and Sir William Heerlein Lindley_2015,74,,SE3 7BG
"74 LANCASTER GATE, PADDINGTON W2 3NH",Francis Bret Harte,https://en.wikipedia.org/wiki/Francis_Bret_Harte,01/01/1977,Francis Bret Harte_1977,74, LANCASTER GATE,W2 3NH
"75 MOSS LANE, PINNER HA5 3AZ",W. Heath Robinson,https://en.wikipedia.org/wiki/W._Heath_Robinson,01/01/1976,W. Heath Robinson_1976,75, MOSS LANE,HA5 3AZ
"75 CADOGAN SQUARE, CHELSEA SW1X 0DY",Arnold Bennett,https://en.wikipedia.org/wiki/Arnold_Bennett,01/01/1958,Arnold Bennett_1958,75, CADOGAN SQUARE,SW1X 0DY
"75 WARRINGTON CRESCENT, MAIDA VALE W9 1EH",David Ben-Gurion,https://en.wikipedia.org/wiki/David_Ben-Gurion,01/01/1986,David Ben-Gurion_1986,75, WARRINGTON CRESCENT,W9 1EH
"76 BROOK STREET, MAYFAIR W1K 5EF",Colen Campbell,https://en.wikipedia.org/wiki/Colen_Campbell,01/01/1977,Colen Campbell_1977,76,,W1K 5EF
"76 SLOANE STREET, BROMPTON SW1X 9SF",Sir Charles Wentworth Dilke,https://en.wikipedia.org/wiki/Charles_Wentworth_Dilke,01/01/1959,Sir Charles Wentworth Dilke_1959,76,,SW1X 9SF
"77 GREAT RUSSELL STREET, BLOOMSBURY WC1B 3DA",Thomas Henry Wyatt,https://en.wikipedia.org/wiki/Thomas_Henry_Wyatt,01/01/1957,Thomas Henry Wyatt_1957,77,,WC1B 3DA
